run_type,num_nodes,dataset_name,model,num_samples,generated_bipartite_pct,dataset_bipartite_pct,generated_edge_prob,dataset_edge_prob,edge_prob_diff,generated_mean_degree,dataset_mean_degree,mean_degree_diff,generated_std_degree,dataset_std_degree,std_degree_diff,gen_avg_clustering_coeff,dataset_avg_clustering_coeff,clustering_coeff_diff,gen_avg_shortest_path,dataset_avg_shortest_path,avg_shortest_path_diff
Evaluation,10,10N_Bipartite_Sparse,Sparse,512,47.0703,100.0000,0.2073,0.1771,0.0303,1.8660,1.5937,0.2724,1.0829,1.0706,0.0124,0.0898,0.0000,0.0898,2.1285,2.1652,0.0367
Evaluation,10,10N_Bipartite_Sparse,Sparse,512,51.7578,100.0000,0.2013,0.1771,0.0242,1.8113,1.5937,0.2177,1.0588,1.0706,0.0118,0.0791,0.0000,0.0791,2.1051,2.1652,0.0601
Evaluation,10,10N_Bipartite_Sparse,Sparse,256,65.2344,100.0000,0.1815,0.1771,0.0044,1.6336,1.5937,0.0399,1.0247,1.0706,0.0458,0.0544,0.0000,0.0544,2.1194,2.1652,0.0458
Evaluation,10,10N_ER_Dense,legacy_run_params_10N_ER_Dense_LR0.031248086322939895_SIGMA0.7735621474524553_INIT0.42238728842048007_NUMLAYERS2,512,0.0000,0.0000,0.7216,0.7884,0.0668,6.4945,7.0960,0.6015,1.1868,1.2088,0.0220,0.7204,0.7887,0.0683,1.2789,1.2116,0.0674
Evaluation,10,10N_ER_Dense,Dense,512,0.0000,0.0000,0.6283,0.7884,0.1601,5.6547,7.0960,1.4413,1.2833,1.2088,0.0746,0.6306,0.7887,0.1581,1.3781,1.2116,0.1666
Evaluation,10,10N_ER_Dense,Dense,512,0.0000,0.0000,0.5650,0.7884,0.2235,5.0848,7.0960,2.0112,1.2993,1.2088,0.0905,0.5611,0.7887,0.2277,1.4549,1.2116,0.2434
Evaluation,10,10N_ER_Medium,legacy_run_params_10N_ER_Medium_LR0.007216520881270238_SIGMA0.6960408118792989_INIT0.893668244257591_NUMLAYERS1,512,0.0000,0.2000,0.4573,0.4380,0.0192,4.1156,3.9424,0.1732,1.3096,1.4627,0.1531,0.4448,0.4242,0.0206,1.6240,1.6505,0.0265
Evaluation,10,10N_ER_Medium,Medium,512,0.0000,0.2000,0.4850,0.4380,0.0470,4.3652,3.9424,0.4228,1.2985,1.4627,0.1642,0.4708,0.4242,0.0466,1.5700,1.6505,0.0805
Evaluation,10,10N_ER_Medium,Medium,512,8.0078,0.2000,0.2998,0.4380,0.1383,2.6980,3.9424,1.2444,1.1902,1.4627,0.2725,0.2453,0.4242,0.1789,2.0023,1.6505,0.3518
Evaluation,10,10N_ER_Sparse,Sparse,512,17.9688,33.8000,0.2476,0.1919,0.0557,2.2285,1.7268,0.5017,1.1688,1.1545,0.0142,0.1807,0.1196,0.0611,2.0893,2.1311,0.0419
Evaluation,10,10N_ER_Sparse,legacy_run_params_10N_ER_Sparse_LR0.032372631678972856_SIGMA0.7649320273591023_INIT1.5357950633585402_NUMLAYERS1,512,16.2109,33.8000,0.2592,0.1919,0.0673,2.3324,1.7268,0.6056,1.1351,1.1545,0.0194,0.1768,0.1196,0.0573,2.0505,2.1311,0.0806
Evaluation,10,10N_ER_Sparse,Sparse,512,0.0000,33.8000,0.5000,0.1919,0.3082,4.5004,1.7268,2.7736,1.3368,1.1545,0.1823,0.4979,0.1196,0.3784,1.5457,2.1311,0.5854
Evaluation,14,14N_Bipartite_Dense,Dense,512,0.0000,100.0000,0.4961,0.3727,0.1234,6.4489,4.8445,1.6044,1.9107,2.0946,0.1838,0.4962,0.0000,0.4962,1.5178,1.7407,0.2229
Evaluation,14,14N_Bipartite_Dense,legacy_run_params_14N_Bipartite_Dense_LR0.05697641941280111_SIGMA0.10993054267369362_INIT1.332910357138958_NUMLAYERS1,512,0.0000,100.0000,0.4876,0.3727,0.1150,6.3393,4.8445,1.4948,1.6306,2.0946,0.4639,0.4820,0.0000,0.4820,1.5316,1.7407,0.2091
Evaluation,14,14N_Bipartite_Medium,legacy_run_params_14N_Bipartite_Medium_LR0.003700878888183011_SIGMA1.8896275887587226_INIT1.4096892767484017_NUMLAYERS4,512,0.0000,100.0000,0.3342,0.2084,0.1258,4.3451,2.7096,1.6356,1.6115,1.6521,0.0407,0.3215,0.0000,0.3215,1.8222,2.2651,0.4429
Evaluation,14,14N_Bipartite_Medium,Medium,512,0.7812,100.0000,0.2471,0.2084,0.0386,3.2118,2.7096,0.5022,1.4582,1.6521,0.1939,0.2193,0.0000,0.2193,2.1402,2.2651,0.1249
Evaluation,14,14N_Bipartite_Sparse,Sparse,512,0.0000,100.0000,0.3830,0.1042,0.2788,4.9794,1.3545,3.6249,1.6736,1.1240,0.5496,0.3687,0.0000,0.3687,1.7112,2.3880,0.6769
Evaluation,14,14N_Bipartite_Sparse,legacy_run_params_14N_Bipartite_Sparse_LR0.001672169486739108_SIGMA0.9231013598757258_INIT0.2562470060605544_NUMLAYERS5,512,0.1953,100.0000,0.2702,0.1042,0.1660,3.5123,1.3545,2.1578,1.4819,1.1240,0.3579,0.2489,0.0000,0.2489,2.0476,2.3880,0.3404
Evaluation,14,14N_Bipartite_Sparse,legacy_run_params_14N_Bipartite_Sparse_LR0.0009135637795619795_SIGMA1.0260396574720994_INIT0.2960938093789271_NUMLAYERS3,512,0.5859,100.0000,0.2395,0.1042,0.1353,3.1133,1.3545,1.7588,1.4420,1.1240,0.3180,0.2038,0.0000,0.2038,2.1696,2.3880,0.2185
Evaluation,14,14N_ER_Dense,Dense,512,0.0000,0.0000,0.7186,0.8145,0.0959,9.3412,10.5880,1.2468,1.5042,1.5603,0.0561,0.7211,0.8151,0.0941,1.2815,1.1855,0.0959
Evaluation,14,14N_ER_Dense,legacy_run_params_14N_ER_Dense_LR0.003007928492112876_SIGMA0.788257573897633_INIT0.45428405466863664_NUMLAYERS2,512,0.0000,0.0000,0.7124,0.8145,0.1021,9.2606,10.5880,1.3274,1.5054,1.5603,0.0549,0.7135,0.8151,0.1016,1.2878,1.1855,0.1022
